date,equity
2025-04-25,100000.0
2025-04-28,100000.0
2025-04-29,100000.0
2025-04-30,100000.0
2025-05-06,100000.0
2025-05-07,100000.0
2025-05-08,100000.0
2025-05-09,100000.0
2025-05-12,100000.0
2025-05-13,100000.0
2025-05-14,100000.0
2025-05-15,100000.0
2025-05-16,100000.0
2025-05-19,100000.0
2025-05-20,100000.0
2025-05-21,100000.0
2025-05-22,100000.0
2025-05-23,100000.0
2025-05-26,100000.0
2025-05-27,100000.0
2025-05-28,100000.0
2025-05-29,100000.0
2025-05-30,100000.0
2025-06-03,100000.0
2025-06-04,100000.0
2025-06-05,100000.0
2025-06-06,100000.0
2025-06-09,100000.0
2025-06-10,100000.0
2025-06-11,100000.0
2025-06-12,100000.0
2025-06-13,100000.0
2025-06-16,100000.0
2025-06-17,100000.0
2025-06-18,100000.0
2025-06-19,100000.0
2025-06-20,100000.0
2025-06-23,100000.0
2025-06-24,100000.0
2025-06-25,100000.0
2025-06-26,100000.0
2025-06-27,100000.0
2025-06-30,100000.0
2025-07-01,100000.0
2025-07-02,100000.0
2025-07-03,100000.0
2025-07-04,100000.0
2025-07-07,100000.0
2025-07-08,100000.0
2025-07-09,100000.0
2025-07-10,100000.0
2025-07-11,100000.0
2025-07-14,100000.0
2025-07-15,100000.0
2025-07-16,100000.0
2025-07-17,100000.0
2025-07-18,100000.0
2025-07-21,100000.0
2025-07-22,100000.0
2025-07-23,100000.0
2025-07-24,100000.0
2025-07-25,100000.0
2025-07-28,100000.0
2025-07-29,100000.0
2025-07-30,100000.0
2025-07-31,100000.0
2025-08-01,100000.0
2025-08-04,100000.0
2025-08-05,100000.0
2025-08-06,100000.0
2025-08-07,100000.0
2025-08-08,100000.0
2025-08-11,100000.0
2025-08-12,100000.0
2025-08-13,100000.0
2025-08-14,100000.0
2025-08-15,100000.0
2025-08-18,100000.0
2025-08-19,100000.0
2025-08-20,100000.0
2025-08-21,100000.0
2025-08-22,100000.0
2025-08-25,100000.0
2025-08-26,100000.0
2025-08-27,100000.0
2025-08-28,100000.0
2025-08-29,100000.0
2025-09-01,100000.0
2025-09-02,100000.0
2025-09-03,100000.0
2025-09-04,100000.0
2025-09-05,100000.0
2025-09-08,100000.0
2025-09-09,100000.0
2025-09-10,100000.0
2025-09-11,100000.0
2025-09-12,100000.0
2025-09-15,100000.0
2025-09-16,99970.010578
2025-09-17,99715.970578
2025-09-18,98191.730578
2025-09-19,98445.770578
2025-09-22,97556.630578
2025-09-23,95778.350578
2025-09-24,97175.570578
2025-09-25,96286.430578
2025-09-26,96286.430578
2025-09-29,96286.430578
2025-09-30,98318.75057799999
2025-10-09,99080.87057799999
2025-10-10,98445.770578
2025-10-13,99080.87057799999
2025-10-14,98826.830578
2025-10-15,98445.770578
2025-10-16,96921.53057799999
2025-10-17,95016.230578
2025-10-20,96286.430578
2025-10-21,97048.550578
2025-10-22,99334.910578
2025-10-23,99207.89057799999
2025-10-24,101367.230578
2025-10-27,102129.35057799998
2025-10-28,112290.95057799999
2025-10-29,111147.770578
2025-10-30,109242.470578
2025-10-31,106289.11585599999
2025-11-03,106289.11585599999
2025-11-04,106289.11585599999
2025-11-05,106289.11585599999
2025-11-06,106289.11585599999
2025-11-07,106289.11585599999
2025-11-10,106289.11585599999
2025-11-11,106289.11585599999
2025-11-12,106289.11585599999
2025-11-13,106289.11585599999
2025-11-14,106289.11585599999
2025-11-17,106289.11585599999
2025-11-18,106289.11585599999
2025-11-19,106289.11585599999
2025-11-20,106289.11585599999
2025-11-21,106289.11585599999
2025-11-24,106289.11585599999
2025-11-25,106289.11585599999
2025-11-26,106289.11585599999
2025-11-27,106289.11585599999
2025-11-28,106289.11585599999
2025-12-01,106289.11585599999
2025-12-02,106289.11585599999
2025-12-03,106289.11585599999
2025-12-04,106289.11585599999
2025-12-05,106289.11585599999
2025-12-08,106289.11585599999
2025-12-09,106289.11585599999
2025-12-10,106289.11585599999
2025-12-11,106289.11585599999
2025-12-12,106289.11585599999
2025-12-15,106289.11585599999
2025-12-16,106289.11585599999
2025-12-17,106289.11585599999
2025-12-18,106289.11585599999
2025-12-19,106289.11585599999
2025-12-22,106289.11585599999
2025-12-23,106289.11585599999
2025-12-24,106289.11585599999
2025-12-25,106289.11585599999
2025-12-26,106289.11585599999
2025-12-29,106289.11585599999
2025-12-30,106289.11585599999
2025-12-31,106289.11585599999
2026-01-05,106289.11585599999
2026-01-06,106289.11585599999
2026-01-07,106289.11585599999
2026-01-08,106289.11585599999
2026-01-09,106289.11585599999
2026-01-12,106289.11585599999
2026-01-13,106289.11585599999
2026-01-14,106289.11585599999
2026-01-15,106289.11585599999
2026-01-16,106289.11585599999
2026-01-19,106289.11585599999
2026-01-20,106289.11585599999
2026-01-21,106289.11585599999
2026-01-22,106289.11585599999
2026-01-23,106289.11585599999
2026-01-26,106289.11585599999
2026-01-27,106289.11585599999
2026-01-28,106289.11585599999
2026-01-29,106289.11585599999
2026-01-30,106289.11585599999
2026-02-02,106257.241168
2026-02-03,116867.701168
2026-02-04,117300.78116799999
2026-02-05,115496.28116799999
2026-02-06,109541.431168
2026-02-09,109505.34116799998
2026-02-10,102864.78116799999
2026-02-11,101060.28116799999
2026-02-12,102576.061168
2026-02-13,101421.181168
2026-02-24,99544.50116799997
2026-02-25,109505.34116799998
2026-02-26,110948.94116799998
2026-02-27,110985.03116799999
2026-03-02,115460.19116799998
2026-03-03,104741.46116799998
