date,action,price,shares,cost,revenue
2025-04-25,buy,6.93,14425,99995.239575,
2025-07-01,sell,8.36,14425,,120556.82209999999
2025-09-05,buy,7.96,15141,120558.516708,
2025-10-30,sell,8.6,15141,,130173.53622
2026-03-24,buy,26.93,4832,130164.79772799999,
2026-04-24,sell,26.3,4832,,127043.47552
