date,action,price,shares,cost,revenue
2025-09-16,buy,7.87,12702,99994.729422,
2025-10-31,sell,8.37,12702,,106283.845278
2026-02-02,buy,29.44,3609,106280.834688,
2026-04-24,sell,26.3,3609,,94888.22499
