日期,开盘,最高,最低,收盘,成交量,成交额,MA5,MA10,MA20,MA60,DIF,DEA,MACD,RSI,K,D,J,upper,middle,lower,ATR,OBV
2025-04-25,6.95,6.99,6.89,6.93,9295331.0,64546095.65,,,,,0.0,0.0,0.0,,,,,,,,,0.0
2025-04-28,6.93,6.93,6.8,6.8,10282600.0,70265056.0,,,,,-0.010370370370370807,-0.0020740740740741617,-0.01659259259259329,,,,,,,,,-10282600.0
2025-04-29,6.8,6.82,6.74,6.82,7426403.0,50470517.34,,,,,-0.0167816819668678,-0.00501559565263289,-0.023532172628469822,,,,,,,,,-2856197.0
2025-04-30,6.82,6.85,6.78,6.82,11624840.0,79238821.0,,,,,-0.02161354510410174,-0.00833518554292666,-0.026556719122350157,,,,,,,,,-2856197.0
2025-05-06,6.88,6.97,6.86,6.96,14021740.0,97052625.8,6.866,,,,-0.01398479348678805,-0.009465107131698939,-0.009039372710178222,,,,,,,,,11165543.0
2025-05-07,7.05,7.38,7.05,7.25,43436662.0,313706868.06,6.93,,,,0.015285422663377624,-0.004515001172683626,0.0396008476721225,,,,,,,,,54602205.0
2025-05-08,7.38,7.5,7.2,7.5,41853043.0,308720679.18,7.07,,,,0.05798675528629005,0.007985350119111109,0.10000281033435787,,,,,,,,,96455248.0
2025-05-09,7.52,7.56,7.33,7.4,35419312.0,263066204.0,7.186,,,,0.08280418961721825,0.022949118018732537,0.11971014319697143,,,,,,,,,61035936.0
2025-05-12,7.41,7.8,7.36,7.65,52620226.0,403368807.67,7.351999999999999,,,,0.1212474308780056,0.04260878059058715,0.1572773005748369,,85.84905660377363,85.84905660377363,85.84905660377362,,,,,113656162.0
2025-05-13,7.7,7.7,7.48,7.5,29163821.0,220920201.02,7.459999999999999,7.162999999999999,,,0.13801923037431507,0.06169087054733273,0.15265671965396468,,81.13207547169816,84.27672955974847,74.84276729559753,,,,,84492341.0
2025-05-14,7.47,7.54,7.36,7.4,21897400.0,162423774.0,7.49,7.209999999999999,,,0.14160945242556267,0.07767458692297873,0.12786973100516788,,74.84276729559754,81.13207547169816,62.26415094339632,,,,,62594941.0
2025-05-15,7.38,7.5,7.25,7.26,17741400.0,130086523.0,7.442,7.256,,,0.1316404303583001,0.088467755610043,0.08634534949651418,,65.58145270686894,75.94853455008843,44.84728902042997,,,,,44853541.0
2025-05-16,7.25,7.39,7.22,7.22,14350269.0,104545143.18,7.406000000000001,7.296000000000001,,,0.11913888394824124,0.09460198127768264,0.04907380534111719,,56.48692591805447,69.46133167274378,30.538114408675852,,,,,30503272.0
2025-05-19,7.3,7.5,7.23,7.46,29714069.0,219503921.03,7.368,7.359999999999999,,,0.12713181614607905,0.10110794825136192,0.05204773578943425,64.32432432432432,55.880172834258545,64.93427872658204,37.771961049611576,,,,0.21571428571428555,60217341.0
2025-05-20,7.42,7.54,7.36,7.4,20420801.0,151693461.37,7.348000000000001,7.404000000000001,,,0.12715896455012743,0.10631815151111504,0.04168162607802478,62.30366492146599,48.36455966728349,59.41103904014919,26.27160092155208,,,,0.22142857142857122,39796540.0
2025-05-21,7.41,7.43,7.28,7.29,14342005.0,104974507.45,7.3260000000000005,7.4079999999999995,,,0.11695620088321235,0.10844576138553451,0.017020878995355676,62.96296296296296,36.26602828393614,51.696035454744845,5.406013942318722,,,,0.22285714285714261,25454535.0
2025-05-22,7.3,7.38,7.21,7.24,15650000.0,114185800.0,7.322,7.382000000000001,,,0.10364114443895467,0.10748483799621855,-0.007687387114527766,60.93749999999999,25.872267443528063,43.08811278433926,-8.559423238094325,,,,0.22928571428571404,9804535.0
2025-05-23,7.27,7.28,7.14,7.15,14375200.0,103649904.0,7.308,7.356999999999999,,,0.08484853731665609,0.10295757786030607,-0.03621808108729996,58.208955223880594,17.84341639092351,34.67321398653401,-15.816178800297479,,,,0.23428571428571413,-4570665.0
2025-05-26,7.16,7.32,7.12,7.29,15568068.0,112890148.39,7.273999999999999,7.321000000000001,,,0.0803261409978564,0.09843129048781614,-0.03621029897991948,58.208955223880594,25.38767441934583,31.578034130804618,13.006954996428263,,,,0.23785714285714274,10997403.0
2025-05-27,7.37,7.39,7.26,7.33,14511000.0,106084702.0,7.26,7.304,7.233500000000001,,0.07905843857147143,0.09455672010454721,-0.03099656306615156,52.27272727272727,33.59178294623055,32.2492837359466,36.27678136679846,7.72994101785663,7.233500000000001,6.737058982143372,0.21714285714285703,25508403.0
2025-05-28,7.28,7.37,7.24,7.25,10690728.0,77979690.56,7.252000000000001,7.289,7.2495,,0.07078250717106727,0.08980187751785124,-0.03803874069356794,42.13836477987421,32.71198228161401,32.403516584502405,33.32891367583723,7.72493774842936,7.2495,6.774062251570641,0.20499999999999988,14817675.0
2025-05-29,7.25,7.42,7.23,7.41,18923303.0,139183108.81,7.286,7.303999999999999,7.280000000000001,,0.0762554098383168,0.08709258398194436,-0.02167434828725512,50.30303030303029,44.82386120361569,36.54363145754017,61.38432069576672,7.710128499771627,7.280000000000001,6.849871500228375,0.202142857142857,33740978.0
2025-05-30,7.39,7.41,7.34,7.38,12089885.0,89126015.6,7.332000000000001,7.32,7.308,,0.07728112663073894,0.08513029251170329,-0.015698331761928697,40.559440559440546,50.51749477066441,41.20158589524826,69.14931252149671,7.681185434363472,7.308,6.934814565636528,0.17571428571428566,21651093.0
2025-06-03,7.39,7.53,7.38,7.41,24257689.0,180523439.72,7.356,7.315,7.3375,,0.07959721669168829,0.08402367734770029,-0.008852921312024004,46.564885496183216,57.25556561946733,46.55291246998795,78.66087191842608,7.6335707596789035,7.3375,7.041429240321097,0.17071428571428568,45908782.0
2025-06-04,7.39,7.51,7.38,7.4,16590100.0,123227538.0,7.37,7.3149999999999995,7.3595,,0.07970700558056176,0.08316034299427258,-0.006906674827421633,50.0,60.934604721921325,51.346809887299074,80.11019439116583,7.59707325739986,7.3595,7.12192674260014,0.16714285714285712,29318682.0
2025-06-05,7.39,7.43,7.3,7.42,14754700.0,108719153.0,7.404000000000001,7.328,7.367999999999999,,0.0804801221677911,0.08262429882897629,-0.004288353322370375,57.27272727272728,65.01331371705322,55.902311163883795,83.23531882339208,7.601201968033586,7.367999999999999,7.134798031966413,0.15857142857142856,44073382.0
2025-06-06,7.42,7.49,7.4,7.42,14143200.0,105107526.0,7.406000000000001,7.345999999999999,7.364,,0.08016868790231335,0.08213317664364371,-0.003928977482660717,59.433962264150956,67.73245304714115,59.84569179163625,83.50597555815095,7.590311383066041,7.364,7.137688616933959,0.15285714285714283,44073382.0
2025-06-09,7.45,7.53,7.43,7.48,19765905.0,147964912.45,7.426,7.3790000000000004,7.368,,0.08379740820255321,0.08246602295542563,0.0026627704942551733,51.13636363636366,72.9327464758719,64.20804335304814,90.38215272151939,7.599753044606132,7.368,7.136246955393869,0.1407142857142857,63839287.0
2025-06-10,7.47,7.48,7.25,7.32,21620500.0,158870581.0,7.4079999999999995,7.382,7.3515,,0.07292193370043254,0.08055720510442702,-0.015270542807988952,45.91836734693878,58.62183098391459,62.34597256333696,51.173547825069846,7.542042162760567,7.3515,7.160957837239432,0.14428571428571432,42218787.0
2025-06-11,7.31,7.37,7.29,7.33,9702300.0,71132179.0,7.394,7.382000000000001,7.343000000000001,,0.06436796440446457,0.07731935696443454,-0.02590278511993993,52.27272727272727,50.19233176705414,58.294758964576026,33.98747737201036,7.520360768224723,7.343000000000001,7.165639231775279,0.13928571428571437,51921087.0
2025-06-12,7.31,7.32,7.24,7.27,9992775.0,72726174.65,7.364,7.384,7.336499999999999,,0.052146273766261686,0.07228474032479996,-0.04027693311707656,51.68539325842693,36.909830373438325,51.16644943419679,8.39659225192139,7.514592229210775,7.336499999999999,7.158407770789223,0.13357142857142865,41928312.0
2025-06-13,7.27,7.48,7.24,7.38,26214430.0,192778716.8,7.356,7.381,7.342500000000001,,0.050751544362925394,0.06797810113242506,-0.034453113538999325,62.63736263736261,40.69850760528068,47.67713549122476,26.741251833392525,7.517804246803577,7.342500000000001,7.167195753196426,0.14071428571428576,68142742.0
2025-06-16,7.4,7.43,7.31,7.38,16373900.0,120522837.0,7.336,7.3809999999999985,7.350500000000001,,0.049080442472985375,0.06419856940053713,-0.030236253855103506,55.84415584415583,43.224292426508924,46.192854469652815,37.28716834022114,7.516629309179392,7.350500000000001,7.18437069082061,0.13500000000000004,68142742.0
2025-06-17,7.37,7.44,7.31,7.44,15899500.0,117211909.0,7.359999999999999,7.384,7.349500000000001,,0.05199817811507845,0.0617584911434454,-0.019520626056733895,56.9620253164557,51.80470069813241,48.06346987914601,59.28716233610518,7.513075187926727,7.349500000000001,7.185924812073274,0.1350000000000001,84042242.0
2025-06-18,7.42,7.5,7.4,7.46,21531122.0,160511152.9,7.386,7.390000000000001,7.352500000000001,,0.05528702309831246,0.06046419753441882,-0.010354348872212718,64.38356164383559,59.823823453927325,51.98358773740645,75.50429488696906,7.522066009503522,7.352500000000001,7.18293399049648,0.13285714285714295,105573364.0
2025-06-19,7.45,7.45,7.2,7.31,26205903.0,191077648.84,7.394,7.3790000000000004,7.3534999999999995,,0.04526788998719056,0.05742493602497317,-0.02431409207556523,43.055555555555536,50.99366008039594,51.65361185173629,49.673756537715235,7.5217448091011265,7.3534999999999995,7.185255190898872,0.13785714285714296,79367461.0
2025-06-20,7.28,7.32,7.23,7.24,11300901.0,82220189.29,7.366,7.361,7.3534999999999995,,0.031318222848993216,0.05220359338977718,-0.04177074108156793,40.789473684210556,38.44021783137508,47.249147178282556,20.822359137560127,7.5217448091011265,7.3534999999999995,7.185255190898872,0.13928571428571437,68066560.0
2025-06-23,7.3,7.96,7.21,7.96,110167484.0,864364675.27,7.481999999999999,7.409000000000001,7.394,,0.07746799107007529,0.057256472925836806,0.040423036288476974,68.9655172413793,58.960145220916715,51.152813192493944,74.57480927776224,7.694203439792351,7.394,7.093796560207649,0.1821428571428572,178234044.0
2025-06-24,7.79,7.86,7.65,7.8,95458288.0,742568189.5,7.554,7.457000000000001,7.419499999999999,,0.09997885801171957,0.06580094994301336,0.06835581613741243,62.49999999999998,65.62255295429534,55.97605977976109,84.91553930336386,7.765635051221647,7.419499999999999,7.073364948778352,0.19500000000000003,82775756.0
2025-06-25,7.78,8.03,7.77,7.94,92209287.0,729112871.89,7.65,7.517999999999999,7.450000000000001,,0.12764430808837268,0.07816962157208523,0.0989493730325749,65.11627906976744,73.46724413820496,61.80645456590905,96.78882328279678,7.863814095051342,7.450000000000001,7.03618590494866,0.20428571428571432,174985043.0
2025-06-26,8.09,8.32,8.01,8.03,121997915.0,993576464.91,7.794,7.593999999999999,7.488999999999999,,0.15504436945226452,0.09354457114812109,0.12299959660828685,66.85082872928174,73.68054371118424,65.76448428100079,89.51266257155115,7.965694760551073,7.488999999999999,7.012305239448925,0.22500000000000003,296982958.0
2025-06-27,7.96,8.25,7.96,8.14,76199211.0,621453728.16,7.974000000000001,7.67,7.525499999999999,,0.18351969537038748,0.11153959599257438,0.1439601987556262,67.74193548387096,77.09655295031332,69.54184050410497,92.20597784273005,8.081859406745036,7.525499999999999,6.969140593254963,0.23785714285714285,373182169.0
2025-06-30,8.2,8.46,8.16,8.4,90655701.0,757277898.99,8.062000000000001,7.772000000000001,7.5765,,0.22447877185472453,0.13412743116500442,0.18070268137944023,77.55102040816325,83.14373371290728,74.07580490703907,101.27959132464369,8.251131283310416,7.5765,6.9018687166895845,0.24428571428571427,463837870.0
2025-07-01,8.41,8.48,8.21,8.36,85169004.0,710042031.25,8.174000000000001,7.864,7.624,,0.2508201705606332,0.15746597904413018,0.18670838303300608,75.87939698492458,85.63748914193818,77.92969965200544,101.05306812180362,8.378339027507565,7.624,6.869660972492435,0.25785714285714284,378668866.0
